permutation,ap_increment,auc_increment,log_loss_improvement,null_plus_ap,null_plus_auc,null_plus_log_loss
114,9.577182916509219e-05,0.0006968894176564433,0.0002986128942484567,0.5503356072970563,0.8991187720912216,0.14286317959196757
115,-0.001255920540489286,-0.0005343395286745434,-0.00025590015209822625,0.548983914927402,0.8978875431448906,0.14341769263831425
116,-0.005074325104311717,-0.0005205054955697008,-0.00039406224083490815,0.5451655103635795,0.8979013771779955,0.14355585472705093
117,-0.004453756655521168,-0.0004340427886644349,-0.00032415024004955884,0.5457860788123701,0.8979878398849007,0.14348594272626558
118,-0.01129737238025652,-0.006451847189270277,-0.003937557968551164,0.5389424630876347,0.8919700354842949,0.14709935045476719
119,-0.010153616026469914,0.00040983323073096045,-0.0003750900802871604,0.5400862194414213,0.8988317159042961,0.14353688256650318
120,-0.019596004444942916,-0.005023483271195506,-0.0030670053961641963,0.5306438310229483,0.8933983994023696,0.14622879788238022
121,-0.0020962097761312304,-0.00021269825898684314,-0.00023037932606267963,0.54814362569176,0.8982091844145783,0.1433921718122787
122,-0.008613613555237487,-0.0016721887515477318,-0.0009765133458605468,0.5416262219126537,0.8967496939220174,0.14413830583207657
123,0.0008990155492387686,0.00018157168450116945,0.00012315039240554104,0.55113885101713,0.8986034543580663,0.14303864209381048
124,-0.002017334595381226,-0.0003372045569305371,-0.0002669977690012981,0.54822250087251,0.8980846781166346,0.14342879025521732
125,-0.00824741686731767,-0.001564974994985202,-0.0009093950472174595,0.5419924186005736,0.89685690767858,0.14407118753343348
126,0.0013457343396658938,-0.0002472833417490605,-1.0007790936655825e-05,0.5515855698075571,0.8981745993318161,0.14317180027715268
127,-0.0060754574333024,0.0017932365412151041,0.00021966269490816814,0.5441643780345888,0.9002151192147803,0.14294212979130785
128,-0.006033642260047656,-0.0011810805763258214,-0.0007815956014052272,0.5442061932078436,0.8972408020972393,0.14394338808762125
129,0.00045100577449785906,0.0002472833417489495,0.0002466142640460134,0.5506908412423891,0.8986691660153141,0.14291517822217
130,-0.013435271299577334,-0.008561537237758654,-0.003800670673616252,0.5368045641683139,0.8898603454358065,0.14696246315983227
131,-0.0002192566833668641,-0.00023344930864421798,-0.00019028985562949408,0.5500205787845244,0.8981884333649209,0.14335208234184552
132,0.0009556052906402046,8.473345276727162e-05,0.0001048992743168109,0.5511954407585314,0.8985066161263324,0.1430568932118992
133,0.001955222820783087,0.0009597360466483407,0.00033803769081533486,0.5521950582886743,0.8993816187202135,0.1428237547954007
134,-0.03220558270216467,-0.004632671835983704,-0.004592817102423291,0.5180342527657266,0.8937892108375814,0.1477546095886393
135,-0.0006947159378694057,-0.0009459020135436091,-0.00036398031116552376,0.5495451195300218,0.8974759806600215,0.14352577279738155
136,-0.00787024387842461,-0.002280886208160693,-0.001313986529286798,0.5423695915894666,0.8961409964654045,0.14447577901550282
137,-0.0044283548963856,-0.00012623555208179926,-0.0003681834587747346,0.5458114805715056,0.8982956471214834,0.14352997594499076
138,0.0019950057374880092,0.0001608206348437946,0.0001498136584690557,0.5522348412053792,0.898582703308409,0.14301197882774697
139,0.0005155037918550542,-0.00021961527553937543,4.431443936858681e-05,0.5507553392597463,0.8982022673980258,0.14311747804684744
140,0.005587017741793265,0.00014698660173895206,0.00044316953544712434,0.5558268532096845,0.8985688692753041,0.1427186229507689
141,-0.004076540891968516,0.0005135884790173906,-1.4191039617611478e-05,0.5461632945759227,0.8989354711525825,0.14317598352583363
142,-0.0011710274941630905,-0.00010548450242442442,-0.0001296870446682863,0.5490688079737281,0.8983163981711407,0.1432914795308843
143,0.00538262930228306,0.0026959072013058583,0.0012433276430987572,0.5556224647701743,0.901117789874871,0.14191846484311726
144,-0.011586685731203361,-0.0033876088565480966,-0.0018111738955184642,0.5386531497366879,0.8950342738170171,0.14497296638173449
145,-0.0014540451077561523,-0.0005308810203982217,-0.00035376428872968546,0.5487857903601351,0.8978910016531669,0.1435155567749457
146,-0.002254878336252486,9.165046931958187e-05,-0.00026384450596833586,0.5479849571316388,0.8985135331428847,0.14342563699218436
147,-0.00672189457133443,-0.0006311777604084412,-0.0007810733240705692,0.5435179408965568,0.8977907049131567,0.1439428658102866
148,-0.0005891059224064632,0.0004305842803883353,0.00019245507458973132,0.5496507295454848,0.8988524669539535,0.1429693374116263
149,-0.0017768841622034515,-0.0003683311314163218,-0.0003411811346743787,0.5484629513056878,0.8980535515421488,0.1435029736208904
150,-0.0008615831258433904,-0.0007453085335232812,-0.0002710779755737136,0.5493782523420478,0.8976765741400419,0.14343287046178974
151,-0.003864131507294699,-0.0008006446659426514,-0.0006060954984121736,0.5463757039605965,0.8976212380076225,0.1437678879846282
